source,target
8c406bd6-ec69-47f4-a857-8175898324d6|X2213188-2,22b49f50-18db-4402-8ba8-abd4430c8d10|X2213188-1
aa51942a-f2da-4e5e-8ed4-2a62e90bc824|GCMODPP16211314-11361-4,172b4718-79e0-4274-afa9-978aafe5085d|GCMODPP16211314-11361-2
76633b59-a38e-43a1-b9b8-b731f339e753|GCB04610187-16,545f0e52-fffb-4fdb-a18f-e98b779c9f55|GCB04610187-6
a401b285-9ebc-4742-9a61-1d04cfc2289c|QR2173-11,682e615e-e65d-4139-bcc1-7aa0dad02976|QR2173-9
02010585-8dd6-451c-9d12-26d3d7b84dce|P2896-29,5da80ecc-2362-4ac1-b96b-31c406a6195a|P2896-28
b87dfebe-941c-4524-88db-bacb18772cee|R12512-8,82e26329-b9dd-4221-bf89-e513a6bb83f3|R12512-1
fc3ff253-e0c7-4d4c-a1bc-54b5db1896e7|R1622-36,7bc2c434-daf6-4ba7-9d03-f70ae36ef9eb|R1622-33
927506de-3b1b-4920-988f-9b77f5c50c5a|R14264-3,a5dd3bae-26b7-482e-96f1-1a665190f198|R14264-1
fb080780-6136-46f1-840a-14565672ef0e|L4136-27,a39e0dac-ec15-49a1-ac3a-760e6eab46cd|L4136-20
c2cd3e05-28cc-4740-b492-91782df116a2|GCAOB00312008-2,bd3dff1d-0560-4f83-806a-8fbcee133b29|GCAOB00312008-1
a432e772-5087-475d-a283-9de9477e3e63|MOD-1209-15022-1,ea983a68-a97b-4dba-866b-734d88938a95|F11209-9
02258a70-6648-4a7c-a288-cbc375de29e4|R1705-25,b438d022-3fac-40b6-ba51-feb8b4fdd699|R1705-24
528f483e-a835-482b-9485-37287ab58a3f|AO-D10073-4,aab13f09-6e26-47d2-bee6-0f10fd9619bf|AO-D10073-1
59a757ca-c636-4c3b-8304-7de28a66ad73|GCLC0164162-3,b30fee1d-67a6-4428-9713-432d88b2e8db|GCLC0164162-2
a07cb145-31c4-4dc3-8109-6fc4796ec904|PB4257-10,2cb96586-2586-402b-a4b0-9eb7fa813ebf|PB4257-2
18a4bc1f-e6b0-47ad-9a98-6dfe837ac987|AO-D10073-9,528f483e-a835-482b-9485-37287ab58a3f|AO-D10073-4
023cb7c6-19f9-40de-8aa1-a251f92f9ded|R10403-2,3e797282-27e0-431a-beee-4483fe467462|R10403-1
fb216014-ae02-4a07-85e4-08cb7e6b6a27|GCLC09010229-18,e398afdf-aa17-40c1-9e31-1f127a24842b|GCLC09010229-7
31e27735-b638-47d2-b6c2-6d32b8575e5a|F11876-11,36410b75-61bd-4b07-baa9-3c2db25b35dd|F11876-1
fb30edae-38ae-4ca5-9ad3-78795af71a27|GCLC0614515-12,bc176df6-d207-439d-b7ad-44b89c809d34|GCLC0614515-11
fc24d239-2870-43be-bd7f-aade7d64effe|L12579-4,8ddf5549-b3fa-499c-9816-ff8b5dbfd485|L12579-1
cda25afc-5b23-4722-a887-7dec31f7368a|V13146-8,4e2343ce-4531-4a6b-973a-cdc3dc059d76|V13146-1
c57f30ea-8017-4cf6-88d2-65cecf14a4d1|GCAOS00612001-41,3ca51583-f714-4503-92a7-e473daedf424|GCAOS00612001-3
fb3c724c-fa4e-439a-bc9b-e4170ec611b4|QR1950-63,08e176e8-83d3-4d71-8e5b-4d15d11cf041|QR1950-50
59ae021d-2d44-472b-898c-b4acca6e831c|QR2588-9,a8c38028-74e1-4188-bade-d3a1e87d2917|QR2588-7
fb50a441-a717-4d03-851c-391f885e41b9|ASD4120-7,7fb73ba5-63e8-4be0-b7a3-ea0d42750622|ASD4120-1
27374cf6-a217-4e37-a191-42c4c2a1d987|R3142-82,f943288c-269b-472e-98a6-c7af1ee1cbda|R3142-57
d57d756a-fadb-44a7-af08-660429012974|GCPP0624578-17,abeb71c0-e804-45ad-ae97-312559e359e3|GCPP0624578-14
021b5bc7-44ae-40ba-946a-871cabaa6acf|P2992-11,f6b12afb-25d4-4730-8a2c-2d05cf47728f|P2992-8
fc9966cb-d33a-4bf9-914b-c015abadc273|QR3459-17,45fcc664-8ee8-400c-a249-585da1587f07|QR3459-10
a46617da-beda-4179-b371-189dbb2168e6|R3820-30,bef678ff-f8c3-48b1-88e3-6a3b711309e8|R3820-12
fb5ea5e2-0d71-4713-9c77-0609f989d8f9|XX14430-2,c82df52a-04d3-457a-820a-cbb7a7751a38|XX14430-1
fce597c8-6338-4b9e-99d8-d0525c4670d3|MOD-2996-4298-14535-1,ffbf3307-dec7-4f4f-9409-7badef9ecade|G2996-4298-24
fb5bccb2-f627-48fd-80e8-48b391bf8109|R3036-3,884816ea-d97d-4ee3-ad3d-26d61a264ea0|R3036-1
3308cdd9-050e-4a9e-ab18-70bd00a5e812|QR1891-49,9f3ace06-8f60-464c-aafa-25a2d36ac37e|QR1891-40
fd3d79e2-0f62-4e42-9513-e8b05a6e56d9|MOD-3518-3975-2,1d2a683a-e0ff-4702-b55b-33ef40b5b480|MOD-3518-3975-1
fd11e635-c012-4669-85cd-2d3505de7bd4|SG4468-3,a6732cbc-7f8e-4d06-ab36-fb5d7a99c21d|SG4468-1
a3bead8c-05b8-4470-9d5f-e8e2f81d3eb1|SG10658-8,272b2737-4d14-4a3a-9fc2-9a4def811c03|SG10658-7
c314cc36-e480-4e71-be2e-f2a37bb3a47e|SPP11590-11,3ce54a3f-3d64-4aa8-8197-4addb9a9c4e8|SPP11590-1
fd56a5de-96f2-4127-babb-ca20889dfbea|QR3154-24,76820207-4d76-41df-98d0-48ba3d697152|QR3154-18
ff376790-f20d-4661-bf03-5ecefc551403|V14169-3,4d31f639-b5a3-41fc-bbc9-61c00e3238bb|V14169-1
fb68474d-3774-4ded-8a56-2beb70074374|GCMODLC29512812-14391-2,dd04aeb0-6468-440a-b55d-4cd7dcca7eab|GCMODLC29512812-14391-1
fd6157b3-974b-4c92-a99c-b63090906f96|R3119-3,cdf9a054-8fc8-4b7c-b303-e072d26000be|R3119-2
0225658c-2e38-414e-af7d-2911f701eacf|QR13311-2,af5a0bdc-8b2c-434f-b2d2-7413a08034c2|QR13311-1
fb63adc0-4440-479e-94cb-38a8edc9bde2|FR1908-4,304658e6-d457-4356-b15c-b2a76e644445|FR1908-3
fb58276f-a3fc-433c-9e20-f420cfddbdfb|R3761-16,aca1ef2c-f463-4117-b960-8c4e943bf668|R3761-15
024aaff2-482b-474f-befb-976db93e8dff|GCPP10510632-2,d03afb8d-e1ad-4d3a-b342-efcb354d225c|GCPP10510632-1
59a11358-af15-4404-a50b-16c738de8ace|QR1890-28,8a402bd9-49cf-4c28-baa1-b7d7cb367858|QR1890-27
024a80cd-9764-425d-9144-5a38db661dd6|MCB2648-37,71475fe4-4fa7-4833-a2e0-0b6643fbcb9d|MCB2648-35
fb980b6a-28f8-469b-921d-3db0ea9d0697|MOD-3415-14024-1,92650212-8b9b-49ee-8dd5-966bc20d16ce|R3415-22
a3e34650-36f6-4f1a-a611-3bbd73611aab|GCPP13411081-6,b9c36398-d919-4ea9-a624-e4c078f2ad9c|GCPP13411081-4
0272154f-0e3b-479b-b7ad-427028b5ef64|GCLC0504427-13,2e5415ed-cd34-4c7c-b2b8-be6b704d5d93|GCLC0504427-9
0268a3ad-5a8a-46c3-b11b-5b8f2c65adef|GCLC14110772-2,8369877f-ae5e-4c37-afa2-b6dac2ee69ae|GCLC14110772-1
ff072be5-038c-47f4-a629-7cffa30f469c|MOD-3039-13418-1,2d6d9d71-f006-4442-b197-39fdff0ec270|R3039-45
fb930f9c-31ba-40f2-aed4-dacf8338dbbf|AO-S10554-24,e4591dd8-03bb-4d74-8c60-8c05cfacad04|AO-S10554-1
027b4eff-f671-4c0c-9afa-5472e8a44c9e|GCB06210462-2,d40a9f24-6e33-4324-8c98-df29e6bd3074|GCB06210462-1
